cd,N_REP,N_DEM,shareD_harv,N_harv,office,shareD_all,N_all
AZ-01,37565,32630,0.46484792364128497,70195,H,0.5161017366873142,365178
AZ-02,136179,185657,0.5768683428827105,321836,H,0.5511524729602016,380920
AZ-03,95490,173916,0.6455535511458542,269406,H,0.6457342766188476,269837
AZ-04,43577,20441,0.31930082164391266,64018,H,0.30235441144732816,398486
AZ-05,261986,182476,0.4105547830860681,444462,H,0.4110798164211093,445585
AZ-06,217290,198345,0.4772095708975423,415635,H,0.47827284770750333,417427
AZ-07,50044,164601,0.76685224440355,214645,H,0.7671250660707165,215678
AZ-08,251161,170098,0.4037848449528675,421259,H,0.4043470336064235,422449
AZ-09,134753,215382,0.6151398746197895,350135,H,0.6162646122052721,352274
CA-01,95895,52450,0.35356769692271395,148345,H,0.4300555736986515,358263
CA-11,100293,271063,0.7299276166266332,371356,H,0.7299276166266332,371356
CA-12,0,372213,1,372213,H,1,362950
CA-13,34955,327863,0.9036569299207867,362818,H,0.9036569299207868,362818
CA-14,84514,279136,0.7675952151794307,363650,H,0.7928661984872011,351005
CA-15,99710,242991,0.7090466616671676,342701,H,0.7090466616671676,342701
CA-16,67766,112263,0.6235828672047281,180029,H,0.5937830193467418,216729
CA-17,47191,125970,0.7274732763151056,173161,H,0.7134588479027094,297336
CA-18,0,220773,1,220773,H,1,344139
CA-19,32030,93418,0.7446750844971621,125448,H,0.7168231494407831,313027
CA-02,59629,220901,0.7874416283463445,280530,H,0.7573793263109156,388755
CA-20,29349,111798,0.7920678441624689,141147,H,0.7677618828470867,308554
CA-21,83139,81608,0.4953534813987508,164747,H,0.4955323071142579,170334
CA-22,108340,95231,0.4678023883559053,203571,H,0.457737696698917,315139
CA-23,154218,86586,0.359570439029252,240804,H,0.37859910230695354,306118
CA-24,149837,212631,0.5866200602535948,362468,H,0.5866342850046227,362345
CA-25,37503,31548,0.45687969761480646,69051,H,0.4832245029428128,512265
CA-26,137868,211184,0.6050216013659856,349052,H,0.6058485842666643,344733
CA-27,11881,10533,0.4699295083429999,22414,H,0.6977574546669272,317318
CA-03,42548,30846,0.4202795868872115,73394,H,0.5467377666248432,321988
CA-30,591,748,0.5586258401792382,1339,H,0.6948278257647685,345464
CA-31,115168,181142,0.611325976173602,296310,H,0.6128823632232128,286050
CA-35,65458,139072,0.6799589302302841,204530,H,0.6932996652288149,244346
CA-36,131116,185151,0.5854262379571691,316267,H,0.6033945034854277,306849
CA-39,20977,19377,0.4801754472914705,40354,H,0.4940238464380146,343783
CA-04,217229,170953,0.44039393892555556,388182,H,0.440545945676912,442022
CA-41,94447,178113,0.6534818021719988,272560,H,0.6403019350809108,262573
CA-42,210274,172978,0.4513427196726958,383252,H,0.4286762288512065,368047
CA-49,123734,160496,0.5646694578334448,284230,H,0.5312957625496111,386506
CA-05,44921,154372,0.77459820465345,199293,H,0.7609072546709308,356460
CA-50,197550,166869,0.457904225630387,364419,H,0.4604680040839979,362390
CA-51,61620,141384,0.6964591830702843,203004,H,0.683047554622438,242437
CA-52,152350,244145,0.6157580801775558,396495,H,0.6157580801775558,396495
CA-53,0,334858,1,334858,H,1,334858
CA-08,161163,124861,0.4365402903252874,286024,H,0.4394036261395707,283111
CA-09,39905,58693,0.5952757662427229,98598,H,0.5758302765936354,302610
CO-01,105944,331617,0.7578760447114802,437561,H,0.7578592061721849,437576
CO-02,181891,315640,0.6344127300610414,497531,H,0.634520053176154,499472
CO-03,220402,193747,0.46781955286623894,414149,H,0.4680390398210032,414756
CO-04,279212,169911,0.37831729837928585,449123,H,0.3785107637672423,459551
CO-05,248994,161584,0.39355250403090275,410578,H,0.39355792437161025,410613
CO-06,175184,250310,0.5882809158296004,425494,H,0.5882737258699055,425506
CO-07,159291,250518,0.611304290535347,409809,H,0.6112960134300899,409826
FL-01,267339,135306,0.3360429162165183,402645,H,0.3448872201311372,432524
FL-10,136845,239334,0.6362237126474365,376179,H,0.6362459908110851,376323
FL-11,248093,120564,0.3270356998510811,368657,H,0.3327783309091445,475073
FL-12,194001,111769,0.3655329168983223,305770,H,0.37117856709369174,453135
FL-14,147896,224240,0.6025754025410065,372136,H,0.6025754025410065,372136
FL-15,134080,119379,0.4709992543172663,253459,H,0.4461477816372344,390671
FL-16,230799,183703,0.44318965891600043,414502,H,0.444997152784082,484684
FL-17,73265,45924,0.38530401295421557,119189,H,0.3451760560784863,407001
FL-18,164469,108367,0.39718732132123324,272836,H,0.4242976634239477,439960
FL-19,124075,61141,0.33010647028334483,185216,H,0.38720517515171415,444586
FL-02,146224,0,0,146224,H,0,305337
FL-20,26891,66674,0.7125955218297441,93565,H,0.7867677391139826,322409
FL-21,157502,237800,0.6015653854521353,395302,H,0.6015240040754721,395537
FL-22,37702,42841,0.531902213724346,80543,H,0.5860155051862089,402317
FL-23,16797,16958,0.502384831876759,33755,H,0.5820348159626216,380113
FL-24,47393,182937,0.7942387009942257,230330,H,0.7873980331691309,277909
FL-26,146635,137904,0.48465763919884447,284539,H,0.4827569097860666,342630
FL-27,169713,157231,0.4809111040422825,326944,H,0.4863181286617925,342899
FL-03,122653,61793,0.33501946369127006,184446,H,0.42860033657700675,390401
FL-04,308485,196403,0.3890031056392705,504888,H,0.38901806226728985,504920
FL-05,73587,145959,0.6648219507529174,219546,H,0.6512776988067294,336973
FL-06,268993,173448,0.3920251513761157,442441,H,0.393661839898743,437698
FL-07,56263,92598,0.622043382753038,148861,H,0.5613881845588675,400696
FL-08,43232,16409,0.2751295249911973,59641,H,0.38647159125510017,459788
FL-09,38353,62019,0.6178914438289563,100372,H,0.560327550609502,429613
GA-01,147133,110509,0.42892463185350216,257642,H,0.4165077996273426,324695
GA-10,194218,112385,0.36654892483113344,306603,H,0.3768992141547275,378446
GA-11,229958,147671,0.3910478273649534,377629,H,0.3957381702071045,405882
GA-12,109674,99146,0.47479168662005555,208820,H,0.416192893237321,310099
GA-13,68051,154368,0.6940414263169963,222419,H,0.7740048429911156,360521
GA-14,222817,76169,0.2547577478544146,298986,H,0.25289882161722876,307625
GA-02,62255,97964,0.6114380941086888,160219,H,0.5911609899749832,273017
GA-03,156798,90830,0.3668002003004507,247628,H,0.3495440565768425,371318
GA-04,69393,278906,0.8007660085156719,348299,H,0.8007660085156719,348299
GA-05,10903,80848,0.8811675077110876,91751,H,0.8514934993497939,354503
GA-06,90479,111160,0.551282242026592,201639,H,0.5458897417301262,397104
GA-07,180563,190898,0.5139112854377714,371461,H,0.5139125191135615,371464
GA-08,148375,86494,0.36826486254039487,234869,H,0.35479356420372443,307965
GA-09,198261,61169,0.23578229194773156,259430,H,0.2141931085205357,372547
IL-10,61388,73186,0.5438346188714016,134574,H,0.6388064788981328,316844
IL-12,15164,5778,0.27590488014516285,20942,H,0.3956906605131259,322416
IL-13,4346,4485,0.5078700033971237,8831,H,0.4553706823293426,333021
IL-14,19861,13291,0.4009109555984556,33152,H,0.5067000129661583,401044
IL-15,10200,2119,0.17201071515545094,12319,H,0.26553945056460754,333506
IL-17,6954,5436,0.4387409200968523,12390,H,0.5202551738396793,299874
IL-18,16955,7315,0.3014009064688916,24270,H,0.29590001048728215,371879
IL-06,13235,7594,0.36458783426952807,20829,H,0.5375765714113281,397668
MD-01,236254,143516,0.3779024146193749,379770,H,0.3644503999716297,394778
MD-02,95447,197706,0.6744123375848107,293153,H,0.6788711045891948,331191
MD-03,64985,185434,0.7404949304964878,250419,H,0.6989945633935163,372475
MD-05,52292,84419,0.617499689125235,136711,H,0.6894288910958302,397735
MD-06,139346,193890,0.581839897249997,333236,H,0.6001575991468484,359139
MD-07,92824,237080,0.7186332993840633,329904,H,0.7186345325529161,329909
MD-08,121704,232357,0.6562626214126944,354061,H,0.6835890940670312,401873
MI-01,58163,36517,0.3856886354034643,94680,H,0.374053753394046,409909
MI-10,51186,46315,0.47502076901775364,97501,H,0.33719795210182874,409786
MI-11,3291,3851,0.5392047045645477,7142,H,0.5121429202347276,441533
MI-12,10810,11140,0.5075170842824601,21950,H,0.6841250845238223,372676
MI-13,973,21845,0.9573582259619599,22818,H,0.8072046463857426,276516
MI-14,2162,24399,0.9186024622566922,26561,H,0.8124023303017058,334034
MI-02,7552,4466,0.3716092527874854,12018,H,0.39233465620250846,392833
MI-03,22957,11845,0.3403540026435262,34802,H,0.4704029071583321,403418
MI-04,25633,13114,0.3384520091878081,38747,H,0.33240053601450653,363423
MI-05,4977,8097,0.6193207893529142,13074,H,0.5659626163381515,347371
MI-06,50236,44519,0.46983272650519764,94755,H,0.4182974357845982,363581
MI-07,64560,37400,0.36681051392703024,101960,H,0.4124880250576476,387267
MI-09,45312,94566,0.6760605670655857,139878,H,0.6003899753397947,383614
NJ-01,144710,239402,0.6232609238971967,384112,H,0.6248006648832558,385030
NJ-10,39974,240256,0.8573528886985691,280230,H,0.8570080193031012,281820
NJ-11,82162,108753,0.5696409396852002,190915,H,0.5330367019058153,441176
NJ-12,51832,93896,0.6443236714975845,145728,H,0.668307890029351,345474
NJ-02,49768,41220,0.45302677276124326,90988,H,0.4706571912013536,369375
NJ-04,141950,103583,0.4218699726716979,245533,H,0.3899424521575039,416523
NJ-05,137445,187711,0.5772952059934309,325156,H,0.5380422835405775,418508
NJ-06,101919,161511,0.6131078464867327,263430,H,0.6116516752040391,326408
NJ-07,53440,67117,0.5567242051477724,120557,H,0.5061194108958006,433947
NJ-08,58256,175743,0.7510416711182526,233999,H,0.7507432765328486,235444
NJ-09,98450,208413,0.6791727904634968,306863,H,0.6737412463654016,302303
NM-01,7393,8607,0.5379375,16000,H,0.5818824115285256,321290
NM-02,56334,42945,0.4325688212008582,99279,H,0.4627363317461457,264829
NM-03,47140,56505,0.5451782526894688,103645,H,0.5868110682694488,317448
NV-02,210238,154285,0.42325175640494567,364523,H,0.4189233524624991,371858
NV-04,27106,10451,0.2782703623825119,37557,H,0.5252119311219956,320741
OH-10,7610,2292,0.23146839022419713,9902,H,0.4164319300283876,364948
OH-11,25853,89939,0.7767289622771867,115792,H,0.8005330317669739,302421
OH-12,75814,91323,0.5463960702896427,167137,H,0.430596014949239,424637
OH-13,44520,43258,0.4928114106040238,87778,H,0.5387598943772322,322279
OH-14,51941,27110,0.3429431632743419,79051,H,0.3990086803371493,397450
OH-15,141212,90219,0.38983109436505914,231431,H,0.3657399435408546,383286
OH-16,43733,18963,0.3024594870486155,62696,H,0.3680858239270732,391406
OH-02,92376,36720,0.28443948689347465,129096,H,0.38912173823138774,377211
OH-03,93569,227420,0.7084977989899965,320989,H,0.7084977989899965,320989
OH-04,128896,39965,0.23667395076423806,168861,H,0.30167391021162204,337772
OH-05,97445,42486,0.3036210703846896,139931,H,0.32002137673586767,377981
OH-06,41479,14261,0.255848582705418,55740,H,0.2558641062633105,334791
OH-07,42271,13532,0.24249592315825313,55803,H,0.30179297564315183,338878
OH-08,236975,109638,0.31631242913566426,346613,H,0.31023154073879056,357043
OH-09,43413,47385,0.5218727284741954,90798,H,0.6308246578702277,301713
OR-01,127313,235136,0.6487423058140593,362449,H,0.6472149176795592,458999
OR-02,129349,84144,0.3941300183144178,213493,H,0.38146577038101176,442716
OR-04,94952,54545,0.364856819869295,149497,H,0.5272071259936416,457031
OR-05,35986,38884,0.5193535461466542,74870,H,0.5347092103315992,439235
RI-01,0,158384,1,158384,H,1,158550
RI-02,109891,154078,0.5836973280953446,263969,H,0.5837033108568831,263980
TN-07,91968,42300,0.3150415586736974,134268,H,0.28103053423922447,341027
TX-01,69612,29763,0.2995018867924528,99375,H,0.27421368690171827,302742
TX-10,57700,101797,0.6382377098001843,159497,H,0.46353438609836456,404902
TX-11,18203,2805,0.133520563594821,21008,H,0.1867171162602024,285962
TX-13,27387,4258,0.1345552219939959,31645,H,0.18862784518742456,267601
TX-15,39862,20257,0.33694838570169167,60119,H,0.5146646365894703,224622
TX-17,21905,47693,0.6852639443662174,69598,H,0.4228418447239481,296955
TX-19,14767,2505,0.14503242241778602,17272,H,0.234109150208091,258781
TX-21,49493,92929,0.6524904860204181,142422,H,0.46607175212900886,441520
TX-22,144974,123293,0.45959063172138204,268267,H,0.46397642362022856,392257
TX-23,1191,259,0.17862068965517242,1450,H,0.4796194894945104,287088
TX-24,51626,65562,0.5594600129706113,117188,H,0.493080462268594,331236
TX-25,76107,106807,0.5839192188678832,182914,H,0.42950607203494173,385785
TX-26,123,106,0.462882096069869,229,H,0.3806611312332731,422972
TX-27,11956,4330,0.26587252855213067,16286,H,0.3565210571719865,267771
TX-03,230512,179458,0.4377344683757348,409970,H,0.4377344683757348,409970
TX-30,34833,163222,0.8241246118502437,198055,H,0.8080342884631309,253613
TX-31,145837,131246,0.4736703442650758,277083,H,0.4532093535019075,388988
TX-32,151734,168392,0.5260178804595691,320126,H,0.530728963850551,336409
TX-33,19569,43666,0.6905353048153713,63235,H,0.7265496188472285,144955
TX-34,8718,17503,0.6675184012814157,26221,H,0.5698513995847779,195558
TX-35,21850,68200,0.7573570238756246,90050,H,0.6858279412679649,257168
TX-36,29291,5683,0.16249213701606907,34974,H,0.2479248978489177,296130
TX-04,66057,19839,0.23096535345068456,85896,H,0.23117672180104976,330163
TX-05,42054,62156,0.5964494770175607,104210,H,0.366899872167937,274579
TX-06,70696,29224,0.29247397918334667,99920,H,0.4544473721800284,329037
TX-08,15694,7357,0.3191618584877012,23051,H,0.2599403313265872,374736
TX-09,13941,51362,0.7865182304028911,65303,H,0.7772040285286702,222513
UT-03,3536,2498,0.41398740470666223,6034,H,0.28029036502781984,342741
WI-01,43042,16246,0.2740183510997166,59288,H,0.4064607252373325,401441
WI-02,99714,270135,0.7303926737668616,369849,H,0.6972477666698043,456829
WI-03,25701,20586,0.44474690517855986,46287,H,0.5132847450140474,389394
WI-05,124492,77601,0.38398658043573997,202093,H,0.39856707814454295,441336
WI-06,40096,26868,0.40123051191685083,66964,H,0.4074267016940659,403113
WI-07,42626,28099,0.39729939908094736,70725,H,0.3923464701330074,414789
WI-08,83374,50907,0.3791079899613497,134281,H,0.35802466180388814,417731
WV-01,26542,11017,0.29332516840171463,37559,H,0.3102325492519061,261665
WV-03,7506,2448,0.24593128390596744,9954,H,0.28663823550187184,226512
